unique_id,ds,y
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2024-07-01,26685405472.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2025-01-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2025-02-01,26549774415.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2025-03-01,215416778183.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2025-04-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2025-05-01,1580109813.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2025-06-01,26706831364.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2026-01-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2026-02-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2026-03-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2026-04-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2026-05-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2026-06-01,23183567331.0
Aceh | Lain-Lain PAD yang Sah,2023-01-01,61976865541.28
Aceh | Lain-Lain PAD yang Sah,2023-02-01,60742339963.43001
Aceh | Lain-Lain PAD yang Sah,2023-03-01,108167445151.15999
Aceh | Lain-Lain PAD yang Sah,2023-04-01,32729515187.679993
Aceh | Lain-Lain PAD yang Sah,2023-05-01,0.0
Aceh | Lain-Lain PAD yang Sah,2023-06-01,70830177213.40002
Aceh | Lain-Lain PAD yang Sah,2023-07-01,82139293834.43
Aceh | Lain-Lain PAD yang Sah,2023-08-01,120563152070.87
Aceh | Lain-Lain PAD yang Sah,2023-09-01,77920395014.44995
Aceh | Lain-Lain PAD yang Sah,2023-10-01,84481379818.18005
Aceh | Lain-Lain PAD yang Sah,2023-11-01,34262757354.869995
Aceh | Lain-Lain PAD yang Sah,2023-12-01,116611516016.97998
Aceh | Lain-Lain PAD yang Sah,2024-01-01,124033894735.78
Aceh | Lain-Lain PAD yang Sah,2024-02-01,24676565118.110016
Aceh | Lain-Lain PAD yang Sah,2024-03-01,72938327217.9
Aceh | Lain-Lain PAD yang Sah,2024-04-01,78025590502.61002
Aceh | Lain-Lain PAD yang Sah,2024-05-01,63521303839.01996
Aceh | Lain-Lain PAD yang Sah,2024-06-01,75342250044.31
Aceh | Lain-Lain PAD yang Sah,2024-07-01,109183980418.98004
Aceh | Lain-Lain PAD yang Sah,2024-08-01,35452107350.39996
Aceh | Lain-Lain PAD yang Sah,2024-09-01,82575075633.10999
Aceh | Lain-Lain PAD yang Sah,2024-10-01,78619492224.01001
Aceh | Lain-Lain PAD yang Sah,2024-11-01,0.0
Aceh | Lain-Lain PAD yang Sah,2024-12-01,73337859774.95999
Aceh | Lain-Lain PAD yang Sah,2025-01-01,7699170104.47
